school id,deliveries,Dr number,date
116690,C1 LOT 6  KS2 G4toG6 ,13259,
116692,C1 LOT 6  KS2 G4toG6 ,13260,
116693,C1 LOT 6  KS2 G4toG6 ,13261,
116694,C1 LOT 6  KS2 G4toG6 ,13262,
116697,C1 LOT 6  KS2 G4toG6 ,13263,
116699,C1 LOT 6  KS2 G4toG6 ,13264,
116700,C1 LOT 6  KS2 G4toG6 ,13265,
116701,C1 LOT 6  KS2 G4toG6 ,13266,
116702,C1 LOT 6  KS2 G4toG6 ,13267,
116703,C1 LOT 6  KS2 G4toG6 ,13268,
116704,C1 LOT 6  KS2 G4toG6 ,13269,
116705,C1 LOT 6  KS2 G4toG6 ,13270,
116709,C1 LOT 6  KS2 G4toG6 ,13271,
116710,C1 LOT 6  KS2 G4toG6 ,13272,
116711,C1 LOT 6  KS2 G4toG6 ,13273,
116726,C1 LOT 6  KS2 G4toG6 ,13274,
116733,C1 LOT 6  KS2 G4toG6 ,13275,
116738,C1 LOT 6  KS2 G4toG6 ,13276,
116747,C1 LOT 6  KS2 G4toG6 ,13277,
116750,C1 LOT 6  KS2 G4toG6 ,13278,
116751,C1 LOT 6  KS2 G4toG6 ,13279,
116755,C1 LOT 6  KS2 G4toG6 ,13280,
116757,C1 LOT 6  KS2 G4toG6 ,13281,
116758,C1 LOT 6  KS2 G4toG6 ,13282,
116762,C1 LOT 6  KS2 G4toG6 ,13283,
116763,C1 LOT 6  KS2 G4toG6 ,13284,
116764,C1 LOT 6  KS2 G4toG6 ,13285,
116765,C1 LOT 6  KS2 G4toG6 ,13286,
116767,C1 LOT 6  KS2 G4toG6 ,13287,
116771,C1 LOT 6  KS2 G4toG6 ,13288,
116772,C1 LOT 6  KS2 G4toG6 ,13289,
116775,C1 LOT 6  KS2 G4toG6 ,13290,
116776,C1 LOT 6  KS2 G4toG6 ,13291,
116779,C1 LOT 6  KS2 G4toG6 ,13292,
116780,C1 LOT 6  KS2 G4toG6 ,13293,
116785,C1 LOT 6  KS2 G4toG6 ,13294,
116791,C1 LOT 6  KS2 G4toG6 ,13295,
116793,C1 LOT 6  KS2 G4toG6 ,13296,
116799,C1 LOT 6  KS2 G4toG6 ,13297,
116800,C1 LOT 6  KS2 G4toG6 ,13298,
116801,C1 LOT 6  KS2 G4toG6 ,13299,
116805,C1 LOT 6  KS2 G4toG6 ,13300,
116806,C1 LOT 6  KS2 G4toG6 ,13301,
116819,C1 LOT 6  KS2 G4toG6 ,13302,
116820,C1 LOT 6  KS2 G4toG6 ,13303,
116825,C1 LOT 6  KS2 G4toG6 ,13304,
116827,C1 LOT 6  KS2 G4toG6 ,13305,
116835,C1 LOT 6  KS2 G4toG6 ,13306,
116836,C1 LOT 6  KS2 G4toG6 ,13307,
116849,C1 LOT 6  KS2 G4toG6 ,13308,
116858,C1 LOT 6  KS2 G4toG6 ,13309,
116859,C1 LOT 6  KS2 G4toG6 ,13310,
116861,C1 LOT 6  KS2 G4toG6 ,13311,
116862,C1 LOT 6  KS2 G4toG6 ,13312,
137257,C1 LOT 6  KS2 G4toG6 ,13313,
180010,C1 LOT 6  KS2 G4toG6 ,13314,
180012,C1 LOT 6  KS2 G4toG6 ,13315,
180020,C1 LOT 6  KS2 G4toG6 ,13316,
180024,C1 LOT 6  KS2 G4toG6 ,13317,
180035,C1 LOT 6  KS2 G4toG6 ,13318,
180047,C1 LOT 6  KS2 G4toG6 ,13319,
182504,C1 LOT 6  KS2 G4toG6 ,13320,
302493,C1 LOT 6 KS4 SHS STEM,13321,
311019,C1 LOT 6 KS4 SHS CORE,13322,
311503,C1 LOT 6 KS4 SHS CORE,13323,
501463,C1 LOT 6 KS4 SHS CORE,13324,
117587,C1 LOT 6  KS2 G4toG6 ,13325,
117589,C1 LOT 6  KS2 G4toG6 ,13326,
117595,C1 LOT 6  KS2 G4toG6 ,13327,
117599,C1 LOT 6  KS2 G4toG6 ,13328,
117604,C1 LOT 6  KS2 G4toG6 ,13329,
117614,C1 LOT 6  KS2 G4toG6 ,13330,
117616,C1 LOT 6  KS2 G4toG6 ,13331,
117618,C1 LOT 6  KS2 G4toG6 ,13332,
117625,C1 LOT 6  KS2 G4toG6 ,13333,
502644,C2 LOT 6  KS2 G4toG6 ,13334,
502645,C1 LOT 6  KS2 G4toG6 ,13335,
117829,C1 LOT 6  KS2 G4toG6 ,13336,
117831,C1 LOT 6  KS2 G4toG6 ,13337,
117832,C1 LOT 6  KS2 G4toG6 ,13338,
117833,C1 LOT 6  KS2 G4toG6 ,13339,
117834,C1 LOT 6  KS2 G4toG6 ,13340,
117843,C1 LOT 6  KS2 G4toG6 ,13341,
117848,C1 LOT 6  KS2 G4toG6 ,13342,
117850,C1 LOT 6  KS2 G4toG6 ,13343,
117854,C1 LOT 6  KS2 G4toG6 ,13344,
117860,C1 LOT 6  KS2 G4toG6 ,13345,
117862,C1 LOT 6  KS2 G4toG6 ,13346,
117863,C1 LOT 6  KS2 G4toG6 ,13347,
117864,C1 LOT 6  KS2 G4toG6 ,13348,
117872,C1 LOT 6  KS2 G4toG6 ,13349,
117877,C1 LOT 6  KS2 G4toG6 ,13350,
117881,C1 LOT 6  KS2 G4toG6 ,13351,
117882,C1 LOT 6  KS2 G4toG6 ,13352,
117884,C1 LOT 6  KS2 G4toG6 ,13353,
117886,C1 LOT 6  KS2 G4toG6 ,13354,
117890,C1 LOT 6  KS2 G4toG6 ,13355,
185501,C1 LOT 6  KS2 G4toG6 ,13356,
302788,C1 LOT 6 KS4 SHS CORE,13357,
302799,C1 LOT 6 KS4 SHS CORE,13358,
117631,C1 LOT 6  KS2 G4toG6 ,13359,
117633,C1 LOT 6  KS2 G4toG6 ,13360,
117634,C1 LOT 6  KS2 G4toG6 ,13361,
117635,C1 LOT 6  KS2 G4toG6 ,13362,
117638,C1 LOT 6  KS2 G4toG6 ,13363,
117642,C1 LOT 6  KS2 G4toG6 ,13364,
117649,C1 LOT 6  KS2 G4toG6 ,13365,
117651,C1 LOT 6  KS2 G4toG6 ,13366,
116864,C1 LOT 6  KS2 G4toG6 ,13367,
116865,C1 LOT 6  KS2 G4toG6 ,13368,
116867,C1 LOT 6  KS2 G4toG6 ,13369,
116869,C1 LOT 6  KS2 G4toG6 ,13370,
116871,C1 LOT 6  KS2 G4toG6 ,13371,
116872,C1 LOT 6  KS2 G4toG6 ,13372,
116877,C1 LOT 6  KS2 G4toG6 ,13373,
116879,C1 LOT 6  KS2 G4toG6 ,13374,
116880,C1 LOT 6  KS2 G4toG6 ,13375,
116883,C1 LOT 6  KS2 G4toG6 ,13376,
116885,C1 LOT 6  KS2 G4toG6 ,13377,
116888,C1 LOT 6  KS2 G4toG6 ,13378,
116889,C1 LOT 6  KS2 G4toG6 ,13379,
116891,C1 LOT 6  KS2 G4toG6 ,13380,
116893,C1 LOT 6  KS2 G4toG6 ,13381,
116894,C1 LOT 6  KS2 G4toG6 ,13382,
116898,C1 LOT 6  KS2 G4toG6 ,13383,
116900,C1 LOT 6  KS2 G4toG6 ,13384,
116909,C1 LOT 6  KS2 G4toG6 ,13385,
116910,C1 LOT 6  KS2 G4toG6 ,13386,
116911,C1 LOT 6  KS2 G4toG6 ,13387,
116912,C1 LOT 6  KS2 G4toG6 ,13388,
116916,C1 LOT 6  KS2 G4toG6 ,13389,
116917,C1 LOT 6  KS2 G4toG6 ,13390,
116919,C1 LOT 6  KS2 G4toG6 ,13391,
116923,C1 LOT 6  KS2 G4toG6 ,13392,
116925,C1 LOT 6  KS2 G4toG6 ,13393,
116926,C1 LOT 6  KS2 G4toG6 ,13394,
116927,C1 LOT 6  KS2 G4toG6 ,13395,
116930,C1 LOT 6  KS2 G4toG6 ,13396,
116931,C1 LOT 6  KS2 G4toG6 ,13397,
116932,C1 LOT 6  KS2 G4toG6 ,13398,
116933,C1 LOT 6  KS2 G4toG6 ,13399,
116934,C1 LOT 6  KS2 G4toG6 ,13400,
116935,C1 LOT 6  KS2 G4toG6 ,13401,
116937,C1 LOT 6  KS2 G4toG6 ,13402,
116942,C1 LOT 6  KS2 G4toG6 ,13403,
116949,C1 LOT 6  KS2 G4toG6 ,13404,
116951,C1 LOT 6  KS2 G4toG6 ,13405,
116955,C1 LOT 6  KS2 G4toG6 ,13406,
116958,C1 LOT 6  KS2 G4toG6 ,13407,
116959,C1 LOT 6  KS2 G4toG6 ,13408,
116962,C1 LOT 6  KS2 G4toG6 ,13409,
116964,C1 LOT 6  KS2 G4toG6 ,13410,
116969,C1 LOT 6  KS2 G4toG6 ,13411,
116979,C1 LOT 6  KS2 G4toG6 ,13412,
116996,C1 LOT 6  KS2 G4toG6 ,13413,
117001,C1 LOT 6  KS2 G4toG6 ,13414,
117002,C1 LOT 6  KS2 G4toG6 ,13415,
